               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.031948,           0.0079159,           0.0016658,             0.94226,             0.72154,             0.79997,             0.47719,            0.041949,            0.014895,           0.0058827,            0.007096,            0.007096,            0.007096
                  90,            0.031235,           0.0081767,            0.001756,             0.96163,             0.72254,              0.8027,             0.45596,            0.042889,            0.014229,           0.0058369,            0.007063,            0.007063,            0.007063
                  91,            0.032944,           0.0085327,           0.0020248,             0.87624,             0.69275,             0.79737,             0.46996,            0.041916,            0.014209,           0.0054992,             0.00703,             0.00703,             0.00703
                  92,            0.032673,           0.0071676,           0.0016781,              0.7875,             0.74902,             0.78899,             0.47671,            0.042466,            0.013769,           0.0053005,            0.006997,            0.006997,            0.006997
                  93,            0.033466,            0.007509,           0.0016367,             0.84702,             0.67349,             0.77198,             0.45655,            0.043722,             0.01397,           0.0052068,            0.006964,            0.006964,            0.006964
                  94,            0.031187,           0.0081446,           0.0016963,             0.90538,             0.72723,             0.81625,              0.4523,            0.044061,            0.014606,           0.0058425,            0.006931,            0.006931,            0.006931
                  95,             0.03255,           0.0081026,           0.0014322,              0.9371,             0.72091,             0.76908,             0.51465,            0.044045,            0.014505,           0.0061324,            0.006898,            0.006898,            0.006898
                  96,            0.032419,           0.0080598,            0.001684,             0.98232,             0.72487,             0.79108,             0.44171,            0.042554,            0.014771,           0.0064665,            0.006865,            0.006865,            0.006865
                  97,             0.03335,           0.0081584,           0.0015534,             0.95053,             0.70304,             0.75224,             0.45564,             0.04376,             0.01516,           0.0070693,            0.006832,            0.006832,            0.006832
                  98,            0.029954,           0.0071252,            0.001768,             0.94866,              0.7057,             0.75107,             0.47351,             0.04252,            0.015932,           0.0057422,            0.006799,            0.006799,            0.006799
                  99,            0.033134,           0.0079273,           0.0017993,              0.9603,             0.70823,             0.77965,             0.47113,              0.0421,            0.015274,           0.0054551,            0.006766,            0.006766,            0.006766
                 100,            0.031212,           0.0088542,           0.0014944,             0.94887,             0.70816,             0.76713,             0.42547,            0.044657,            0.014749,           0.0052691,            0.006733,            0.006733,            0.006733
                 101,            0.032582,           0.0082534,           0.0014906,             0.97125,             0.72162,             0.80833,             0.47397,             0.04116,            0.014885,           0.0055261,              0.0067,              0.0067,              0.0067
